Received Timestamp (ns),Sent Timestamp (ns),Difference (ns)
1730382028928275200,1730382027597437942,1330837258
1730382028938783500,1730382027607548959,1331234541
1730382028948342200,1730382027617660588,1330681612
1730382028959338900,1730382027627779966,1331558934
1730382028969343100,1730382027637893478,1331449622
1730382028979333000,1730382027648005411,1331327589
1730382028989551600,1730382027658116583,1331435017
1730382028999548500,1730382027668226320,1331322180
1730382029009924000,1730382027678345707,1331578293
1730382029019533400,1730382027688455844,1331077556
1730382029029954000,1730382027698566302,1331387698
1730382029039377400,1730382027708676907,1330700493
1730382029050041100,1730382027718787684,1331253416
1730382029059550700,1730382027728898091,1330652609
1730382029070146100,1730382027739008509,1331137591
1730382029080157500,1730382027749119765,1331037735
1730382029090465800,1730382027759229185,1331236615
1730382029100459800,1730382027769338788,1331121012
1730382029110742900,1730382027779448772,1331294128
1730382029120751200,1730382027789558489,1331192711
1730382029129745700,1730382027799669092,1330076608
1730382029141193900,1730382027809778799,1331415101
1730382029151100500,1730382027819889134,1331211366
1730382029161112200,1730382027829999729,1331112471
1730382029171110000,1730382027840112590,1330997410
1730382029181678200,1730382027850222098,1331456102
1730382029191255900,1730382027860333549,1330922351
1730382029201688400,1730382027870444267,1331244133
1730382029211260800,1730382027880553931,1330706869
1730382029221877200,1730382027890665158,1331212042
1730382029231983500,1730382027900775435,1331208065
1730382029242152600,1730382027910885505,1331267095
1730382029252236800,1730382027920995716,1331241084
1730382029261625000,1730382027931106056,1330518944
1730382029272624400,1730382027941219015,1331405385
1730382029282540900,1730382027951330631,1331210269
1730382029292346100,1730382027961440565,1330905535
1730382029302538100,1730382027971550842,1330987258
1730382029312532600,1730382027981659879,1330872721
1730382029322840300,1730382027991781128,1331059172
1730382029333053600,1730382028001890429,1331163171
1730382029342692000,1730382028012001463,1330690537
1730382029352808500,1730382028022110627,1330697873
1730382029363386200,1730382028032220644,1331165556
1730382029373395400,1730382028042339155,1331056245
1730382029383376000,1730382028052415436,1330960564
1730382029393409800,1730382028062572358,1330837442
1730382029403407100,1730382028072717234,1330689866
1730382029414462400,1730382028082962743,1331499657
1730382029423847200,1730382028093157255,1330689945
1730382029433959200,1730382028103276692,1330682508
1730382029444576600,1730382028113394127,1331182473
1730382029454211800,1730382028123511364,1330700436
1730382029464822900,1730382028133629280,1331193620
1730382029475074800,1730382028143745816,1331328984
1730382029485393100,1730382028153859744,1331533356
1730382029495393600,1730382028163973372,1331420228
1730382029505015200,1730382028174085575,1330929625
1730382029515468100,1730382028184198326,1331269774
1730382029525468800,1730382028194311341,1331157459
